 Banyule,2021,1 North West Metro,2021.1,December,"4,243.50","5,405",1,"4,243.50.1"
 Ararat,2023,4 Western,2023,December,"8,318.90",981,1,"8,318.90"
 Loddon,2014,4 Western,2014,December,"3,154.50",237,1,"3,154.50"
 Cardinia,2020,3 Southern Metro,2020,December,"4,919.10","5,731",1,"4,919.10"
 Mornington Peninsula,2017,3 Southern Metro,2017,December,"5,154.50","8,463",1,"5,154.50"
 Bayside,2018,3 Southern Metro,2018,December,"3,533.60","3,697",1,"3,533.60"
 Stonnington,2015,3 Southern Metro,2015,December,"7,197.20","7,775",1,"7,197.20"
 Northern Grampians,2023,4 Western,2023,December,"6,180.70",732,1,"6,180.70"
 Gannawarra,2014,4 Western,2014,December,"4,053.50",427,1,"4,053.50"
 Alpine,2017,2 Eastern,2017,December,"2,443.40",310,1,"2,443.40"
 Bayside,2016,3 Southern Metro,2016,December,"4,088.00","4,207",1,"4,088.00"
 Maroondah,2016,2 Eastern,2016,December,"5,898.10","6,771",1,"5,898.10"
 East Gippsland,2018,2 Eastern,2018,December,"6,759.70","3,169",1,"6,759.70"
 Justice Institutions and Immigration Facilities,2023,Justice Institutions and Immigration Facilities,2023,December,,983,1,
 Port Phillip,2022,3 Southern Metro,2022,December,"9,152.80","9,518",1,"9,152.80"
 Benalla,2021,2 Eastern,2021,December,"6,871.70",992,1,"6,871.70"
 Glenelg,2015,4 Western,2015,December,"6,221.50","1,227",1,"6,221.50"
 Bass Coast,2017,2 Eastern,2017,December,"5,571.50","1,936",1,"5,571.50"
 Kingston,2019,3 Southern Metro,2019,December,"5,464.60","8,917",1,"5,464.60"
 Surf Coast,2016,4 Western,2016,December,"3,587.70","1,093",1,"3,587.70"
 Darebin,2019,1 North West Metro,2019,December,"7,257.60","11,416",1,"7,257.60"
 Boroondara,2022,2 Eastern,2022,December,"3,291.40","5,579",1,"3,291.40"
 Benalla,2017,2 Eastern,2017,December,"6,940.00",975,1,"6,940.00"
 Mansfield,2019,2 Eastern,2019,December,"3,345.00",315,1,"3,345.00"
 Golden Plains,2023,4 Western,2023,December,"2,109.80",543,1,"2,109.80"
 Corangamite,2015,4 Western,2015,December,"3,109.30",506,1,"3,109.30"
 Whitehorse,2014,2 Eastern,2014,December,"3,468.20","5,699",1,"3,468.20"
 Yarriambiack,2019,4 Western,2019,December,"4,419.50",295,1,"4,419.50"
 Brimbank,2015,1 North West Metro,2015,December,"7,377.30","14,818",1,"7,377.30"
 Casey,2014,3 Southern Metro,2014,December,"4,488.80","12,925",1,"4,488.80"
 Hindmarsh,2019,4 Western,2019,December,"4,040.20",229,1,"4,040.20"
 Swan Hill,2014,4 Western,2014,December,"7,779.40","1,629",1,"7,779.40"
 Northern Grampians,2020,4 Western,2020,December,"7,064.80",834,1,"7,064.80"
 Mornington Peninsula,2015,3 Southern Metro,2015,December,"5,121.20","8,134",1,"5,121.20"
 Strathbogie,2018,2 Eastern,2018,December,"4,099.10",440,1,"4,099.10"
 Bayside,2020,3 Southern Metro,2020,December,"3,924.10","4,121",1,"3,924.10"
 Wellington,2022,2 Eastern,2022,December,"6,657.40","3,049",1,"6,657.40"
 Bass Coast,2015,2 Eastern,2015,December,"5,915.40","1,927",1,"5,915.40"
 Greater Bendigo,2017,4 Western,2017,December,"6,301.10","7,200",1,"6,301.10"
 Bayside,2022,3 Southern Metro,2022,December,"3,676.00","3,756",1,"3,676.00"
 West Wimmera,2017,4 Western,2017,December,"3,188.30",126,1,"3,188.30"
 Mornington Peninsula,2019,3 Southern Metro,2019,December,"5,134.80","8,657",1,"5,134.80"
 Melbourne,2021,1 North West Metro,2021,December,"16,085.20","24,628",1,"16,085.20"
 Surf Coast,2014,4 Western,2014,December,"3,401.00",982,1,"3,401.00"
 Moonee Valley,2023,1 North West Metro,2023,December,"4,849.70","6,121",1,"4,849.70"
 Macedon Ranges,2020,4 Western,2020,December,"3,756.80","1,912",1,"3,756.80"
 Cardinia,2016,3 Southern Metro,2016,December,"5,513.80","5,380",1,"5,513.80"
 Whitehorse,2019,2 Eastern,2019,December,"4,133.40","7,269",1,"4,133.40"
 Northern Grampians,2021,4 Western,2021,December,"6,999.80",832,1,"6,999.80"
 Corangamite,2018,4 Western,2018,December,"3,339.30",542,1,"3,339.30"
 Yarriambiack,2014,4 Western,2014,December,"2,729.60",189,1,"2,729.60"
 Brimbank,2018,1 North West Metro,2018,December,"7,040.40","14,572",1,"7,040.40"
 Banyule,2015,1 North West Metro,2015,December,"5,437.50","6,856",1,"5,437.50"
 Moira,2017,2 Eastern,2017,December,"4,876.00","1,449",1,"4,876.00"
 Stonnington,2021,3 Southern Metro,2021,December,"7,582.60","8,052",1,"7,582.60"
 Towong,2016,2 Eastern,2016,December,"2,911.00",176,1,"2,911.00"
 Ballarat,2019,4 Western,2019,December,"8,132.20","8,927",1,"8,132.20"
 Gannawarra,2016,4 Western,2016,December,"4,646.50",491,1,"4,646.50"
 Mitchell,2015,2 Eastern,2015,December,"6,596.50","2,656",1,"6,596.50"
 Colac-Otway,2016,4 Western,2016,December,"6,764.30","1,445",1,"6,764.30"
 Wangaratta,2021,2 Eastern,2021,December,"5,630.10","1,675",1,"5,630.10"
 Wodonga,2016,2 Eastern,2016,December,"6,224.40","2,496",1,"6,224.40"
 Wyndham,2016,1 North West Metro,2016,December,"5,449.10","12,370",1,"5,449.10"
 Moyne,2014,4 Western,2014,December,"2,846.40",470,1,"2,846.40"
 Maroondah,2014,2 Eastern,2014,December,"5,269.20","5,871",1,"5,269.20"
 Alpine,2018,2 Eastern,2018,December,"3,065.00",393,1,"3,065.00"
 Yarra Ranges,2023,2 Eastern,2023,December,"3,040.90","4,830",1,"3,040.90"
 South Gippsland,2020,2 Eastern,2020,December,"4,139.10","1,253",1,"4,139.10"
 Banyule,2018,1 North West Metro,2018,December,"5,526.60","7,165",1,"5,526.60"
 Mount Alexander,2018,4 Western,2018,December,"3,538.50",690,1,"3,538.50"
 Yarra,2021,1 North West Metro,2021,December,"10,113.50","9,256",1,"10,113.50"
 Moorabool,2022,4 Western,2022,December,"3,747.50","1,443",1,"3,747.50"
 Pyrenees,2018,4 Western,2018,December,"4,640.40",340,1,"4,640.40"
 Whittlesea,2014,1 North West Metro,2014,December,"5,449.70","10,240",1,"5,449.70"
 Hobsons Bay,2014,1 North West Metro,2014,December,"6,146.00","5,557",1,"6,146.00"
 Buloke,2021,4 Western,2021,December,"3,163.70",194,1,"3,163.70"
 Ballarat,2015,4 Western,2015,December,"8,602.80","8,730",1,"8,602.80"
 Greater Geelong,2018,4 Western,2018,December,"6,323.30","16,009",1,"6,323.30"
 Northern Grampians,2018,4 Western,2018,December,"6,567.00",764,1,"6,567.00"
 Buloke,2023,4 Western,2023,December,"4,579.80",279,1,"4,579.80"
 Manningham,2021,2 Eastern,2021,December,"2,374.00","2,987",1,"2,374.00"
 Ararat,2015,4 Western,2015,December,"7,815.20",910,1,"7,815.20"
 Cardinia,2022,3 Southern Metro,2022,December,"3,585.60","4,414",1,"3,585.60"
 Latrobe,2019,2 Eastern,2019,December,"13,268.30","10,100",1,"13,268.30"
 Campaspe,2014,4 Western,2014,December,"6,240.30","2,330",1,"6,240.30"
 East Gippsland,2022,2 Eastern,2022,December,"6,847.60","3,350",1,"6,847.60"
 Hume,2020,1 North West Metro,2020,December,"6,624.90","16,141",1,"6,624.90"
 Swan Hill,2016,4 Western,2016,December,"8,303.00","1,735",1,"8,303.00"
 Pyrenees,2017,4 Western,2017,December,"4,873.70",357,1,"4,873.70"
 Melbourne,2023,1 North West Metro,2023,December,"15,451.80","27,260",1,"15,451.80"
 Moonee Valley,2021,1 North West Metro,2021,December,"4,932.10","6,064",1,"4,932.10"
 Horsham,2019,4 Western,2019,December,"6,534.70","1,320",1,"6,534.70"
 Wodonga,2015,2 Eastern,2015,December,"6,672.10","2,617",1,"6,672.10"
 Northern Grampians,2019,4 Western,2019,December,"6,526.00",764,1,"6,526.00"
 Hepburn,2018,4 Western,2018,December,"3,785.70",602,1,"3,785.70"
 Bass Coast,2021,2 Eastern,2021,December,"5,263.70","2,141",1,"5,263.70"
 Towong,2015,2 Eastern,2015,December,"2,781.00",167,1,"2,781.00"
 Surf Coast,2020,4 Western,2020,December,"3,341.10","1,197",1,"3,341.10"
 Macedon Ranges,2014,4 Western,2014,December,"3,243.80","1,475",1,"3,243.80"
