"Reported Date per month","Sum of Offence count"
"2019-01-01","9,005"
"2019-02-01","8,661"
"2019-03-01","9,466"
"2019-04-01","8,824"
"2019-05-01","9,551"
"2019-06-01","9,483"
"2019-07-01","9,649"
"2019-08-01","9,746"
"2019-09-01","9,881"
"2019-10-01","10,591"
"2019-11-01","10,044"
"2019-12-01","10,722"
"2020-01-01","11,196"
"2020-02-01","10,528"
"2020-03-01","10,183"
"2020-04-01","7,146"
"2020-05-01","6,779"
"2020-06-01","6,725"
"2020-07-01","6,992"
"2020-08-01","7,696"
"2020-09-01","7,972"
"2020-10-01","8,443"
"2020-11-01","7,919"
"2020-12-01","8,509"
"2021-01-01","8,523"
"2021-02-01","8,035"
"2021-03-01","8,860"
"2021-04-01","8,632"
"2021-05-01","8,919"
"2021-06-01","8,600"
"2021-07-01","8,134"
"2021-08-01","8,993"
"2021-09-01","9,048"
"2021-10-01","9,280"
"2021-11-01","9,332"
"2021-12-01","9,246"
"2022-01-01","9,021"
"2022-02-01","8,639"
"2022-03-01","9,533"
"2022-04-01","8,431"
"2022-05-01","8,991"
"2022-06-01","8,768"
"2022-07-01","8,914"
"2022-08-01","9,235"
"2022-09-01","8,886"
"2022-10-01","9,865"
"2022-11-01","9,751"
"2022-12-01","9,666"
"2023-01-01","10,534"
"2023-02-01","9,563"
"2023-03-01","10,515"
"2023-04-01","9,824"
"2023-05-01","10,421"
"2023-06-01","9,605"
"2023-07-01","9,671"
"2023-08-01","10,346"
"2023-09-01","9,944"
"2023-10-01","10,079"
"2023-11-01","10,152"
"2023-12-01","10,582"
