"Reported Date per day","Sum of Offence count"
"2021-06-22",300
"2021-06-23",240
"2021-06-24",306
"2021-06-25",277
"2021-06-26",250
"2021-06-27",254
"2021-06-28",362
"2021-06-29",309
"2021-06-30",321
"2021-07-01",309
"2021-07-02",274
"2021-07-03",239
"2021-07-04",244
"2021-07-05",307
"2021-07-06",321
"2021-07-07",277
"2021-07-08",318
"2021-07-09",276
"2021-07-10",252
"2021-07-11",310
"2021-07-12",300
"2021-07-13",284
"2021-07-14",265
"2021-07-15",240
"2021-07-16",278
"2021-07-17",267
"2021-07-18",298
"2021-07-19",309
"2021-07-20",269
"2021-07-21",200
"2021-07-22",186
"2021-07-23",179
"2021-07-24",163
"2021-07-25",192
"2021-07-26",286
"2021-07-27",209
"2021-07-28",298
"2021-07-29",285
"2021-07-30",254
"2021-07-31",245
