tpop_2021, tpop_2020, tpop_2015, tpop_2016, tpop_2017, vifsa_name, tpop_2018, lga_name, tpop_2011, tpop_2012, tpop_2013, tpop_2014, tpop_2019, vifsa_code, tpop_2031, tpop_2030, tpop_2028, tpop_2029, tpop_2026, lga_code, tpop_2027, tpop_2024, tpop_2025, tpop_2022, tpop_2023
7619,7589,7488,7490,7511,"VIFSA Bright-Harrietville District",7534,"Alpine (S)",7507,7541,7506,7491,7561,"VIFSA.20110.10",7999,7957,7875,7916,7798,20110,7836,7721,7759,7651,7685
4471,4473,4508,4495,4487,"VIFSA Myrtleford District",4481,"Alpine (S)",4560,4562,4518,4525,4477,"VIFSA.20110.20",4500,4493,4480,4486,4469,20110,4474,4467,4468,4469,4467
3110,3112,3124,3128,3123,"VIFSA Ararat Rural",3118,"Ararat (RC)",3158,3147,3141,3125,3115,"VIFSA.20260.10",3052,3056,3067,3061,3079,20260,3072,3089,3083,3102,3095
8468,8404,8111,8171,8225,"VIFSA Ararat Town",8282,"Ararat (RC)",8168,8188,8087,8066,8342,"VIFSA.20260.20",8861,8819,8739,8778,8665,20260,8701,8580,8621,8503,8540
65876,65079,61112,62038,62765,"VIFSA Ballarat Central and East District",63519,"Ballarat (C)",57864,58646,59453,60247,64293,"VIFSA.20570.10",73692,72953,71466,72210,69978,20570,70721,68307,69139,66677,67486
3337,3333,3300,3323,3324,"VIFSA Benalla Rural",3325,"Benalla (RC)",3352,3320,3296,3279,3329,"VIFSA.21010.10",3356,3355,3354,3354,3355,21010,3355,3346,3350,3339,3342
10473,10451,10352,10392,10401,"VIFSA Benalla Town",10414,"Benalla (RC)",10471,10407,10394,10319,10431,"VIFSA.21010.20",10788,10752,10683,10716,10619,21010,10650,10553,10585,10497,10524
49851,49608,47653,48251,48666,"VIFSA Ashburton-Camberwell District",49019,"Boroondara (C)",45427,45986,46420,46890,49322,"VIFSA.21110.10",53356,52873,51988,52412,51185,21110,51581,50599,50877,50068,50334
57365,57198,55366,56004,56370,"VIFSA Balwyn-Canterbury District",56703,"Boroondara (C)",53797,54037,54438,54778,56974,"VIFSA.21110.20",59257,58993,58501,58737,58030,21110,58265,57734,57869,57457,57600
43329,42822,39504,40343,41068,"VIFSA Hawthorn District",41673,"Boroondara (C)",36430,36834,37771,38559,42290,"VIFSA.21110.30",47876,47351,46380,46853,45502,21110,45931,44654,45083,43810,44227
34363,34218,32959,33316,33644,"VIFSA Kew District",33859,"Boroondara (C)",31408,31601,31795,32385,34051,"VIFSA.21110.40",35316,35201,34974,35084,34727,21110,34857,34568,34640,34414,34493
110053,108799,102379,103626,104868,"VIFSA Cairnlea-Sunshine District",106186,"Brimbank (C)",94784,96907,98981,101001,107476,"VIFSA.21180.10",120169,119267,117466,118357,115551,21180,116540,113392,114452,111142,112277
97236,97182,96572,96518,96690,"VIFSA Keilor-Sydenham District",96916,"Brimbank (C)",96711,96430,96344,96703,97038,"VIFSA.21180.20",102877,102176,100808,101479,99477,21180,100141,98501,98970,97598,98039
5705,5755,6021,5966,5910,"VIFSA Buloke Shire",5856,"Buloke (S)",6465,6355,6216,6086,5805,"VIFSA.21270.10",5313,5346,5414,5380,5487,21270,5450,5570,5528,5659,5613
15457,15328,14712,14830,14950,"VIFSA Echuca Town",15075,"Campaspe (S)",14367,14400,14511,14611,15200,"VIFSA.21370.10",16738,16608,16347,16477,16091,21370,16218,15833,15961,15580,15706
10864,10827,10704,10695,10725,"VIFSA Kyabram District",10758,"Campaspe (S)",10683,10697,10739,10725,10792,"VIFSA.21370.20",11283,11239,11150,11194,11064,21370,11106,10981,11022,10901,10941
7536,7532,7566,7525,7525,"VIFSA Rochester District",7526,"Campaspe (S)",7690,7732,7646,7615,7529,"VIFSA.21370.30",7687,7675,7651,7663,7630,21370,7640,7590,7610,7553,7571
3849,3859,3915,3905,3893,"VIFSA Rushworth District",3881,"Campaspe (S)",4129,4131,3995,3929,3870,"VIFSA.21370.40",3877,3876,3875,3875,3875,21370,3875,3864,3869,3853,3858
29174,28578,26472,26646,26972,"VIFSA Emerald-Garfield District",27489,"Cardinia (S)",26228,26377,26326,26351,28009,"VIFSA.21450.10",37499,36574,34762,35659,33000,21450,33876,31317,32145,29817,30543
9771,9279,7353,7593,7920,"VIFSA Koo Wee Rup District",8341,"Cardinia (S)",6695,6908,7148,7189,8799,"VIFSA.21450.20",14118,13726,12923,13327,12096,21450,12513,11209,11658,10253,10743
1632,1615,1550,1554,1568,"VIFSA Ballarat Rural",1584,"Ballarat (C)",1530,1532,1534,1547,1599,"VIFSA.20570.20",1799,1784,1754,1769,1724,20570,1739,1686,1705,1650,1668
