"Local Government Area: Descending",filters,"Sum of Offence Count"
Melbourne,2019,"28,448"
Melbourne,2020,"28,696"
Melbourne,2021,"30,834"
Melbourne,2022,"28,118"
Melbourne,2023,"29,451"
Casey,2019,"22,532"
Casey,2020,"23,188"
Casey,2021,"19,786"
Casey,2022,"20,949"
Casey,2023,"23,432"
"Greater Geelong",2019,"21,705"
"Greater Geelong",2020,"22,961"
"Greater Geelong",2021,"19,999"
"Greater Geelong",2022,"19,875"
"Greater Geelong",2023,"22,601"
Hume,2019,"21,416"
Hume,2020,"21,992"
Hume,2021,"17,888"
Hume,2022,"18,186"
Hume,2023,"18,342"
Brimbank,2019,"19,791"
Brimbank,2020,"20,216"
Brimbank,2021,"16,994"
Brimbank,2022,"16,727"
Brimbank,2023,"17,044"
"Greater Dandenong",2019,"18,916"
"Greater Dandenong",2020,"18,133"
"Greater Dandenong",2021,"16,551"
"Greater Dandenong",2022,"17,016"
"Greater Dandenong",2023,"18,774"
Wyndham,2019,"16,755"
Wyndham,2020,"18,263"
Wyndham,2021,"15,918"
Wyndham,2022,"17,648"
Wyndham,2023,"18,574"
Whittlesea,2019,"16,472"
Whittlesea,2020,"16,792"
Whittlesea,2021,"13,143"
Whittlesea,2022,"12,477"
Whittlesea,2023,"13,199"
Frankston,2019,"14,921"
Frankston,2020,"14,784"
Frankston,2021,"11,748"
Frankston,2022,"12,737"
Frankston,2023,"14,953"
Darebin,2019,"14,523"
Darebin,2020,"15,737"
Darebin,2021,"12,641"
Darebin,2022,"12,671"
Darebin,2023,"13,715"
"Merri-bek",2019,"14,368"
"Merri-bek",2020,"13,768"
"Merri-bek",2021,"11,638"
"Merri-bek",2022,"11,926"
"Merri-bek",2023,"12,750"
Yarra,2019,"13,504"
Yarra,2020,"14,202"
Yarra,2021,"12,150"
Yarra,2022,"11,232"
Yarra,2023,"12,835"
Latrobe,2019,"14,004"
Latrobe,2020,"13,628"
Latrobe,2021,"11,339"
Latrobe,2022,"11,186"
Latrobe,2023,"11,863"
"Port Phillip",2019,"12,549"
"Port Phillip",2020,"13,574"
"Port Phillip",2021,"12,329"
"Port Phillip",2022,"12,598"
"Port Phillip",2023,"12,727"
Melton,2019,"12,612"
